Drug Name,Temperature (oC),Concentration (mM),% Transmittance,Difference from Control
Potassium Phosphate Dibasic,37,2,43.98791056,50.56320706
Potassium Phosphate Dibasic,38,2,43.35108784,51.2726283
Potassium Phosphate Dibasic,39,2,42.88775698,51.73595916
Potassium Phosphate Dibasic,40,2,42.29931489,52.03434118
Potassium Phosphate Dibasic,25,4,88.51156098,11.48843902
Potassium Phosphate Dibasic,26,4,85.96730918,12.20748512
Potassium Phosphate Dibasic,27,4,82.54041853,14.73430385
Potassium Phosphate Dibasic,28,4,79.18932966,18.68451909
Potassium Phosphate Dibasic,29,4,72.72214272,25.22685582
Potassium Phosphate Dibasic,30,4,62.51726928,34.60824543
Potassium Phosphate Dibasic,31,4,47.89975955,47.96669513
Potassium Phosphate Dibasic,32,4,39.11409924,55.36447555
Potassium Phosphate Dibasic,33,4,35.15604405,59.10523605
Potassium Phosphate Dibasic,34,4,33.65115694,60.68249914
Potassium Phosphate Dibasic,35,4,32.91041307,61.35086703
Potassium Phosphate Dibasic,36,4,32.35936569,61.97429039
Potassium Phosphate Dibasic,37,4,32.03809366,62.51302395
Potassium Phosphate Dibasic,38,4,31.57427108,63.04944505
Potassium Phosphate Dibasic,39,4,31.30881761,63.31489852
Potassium Phosphate Dibasic,40,4,31.04559588,63.2880602
Potassium Phosphate Dibasic,25,6,86.29785478,13.70214522
Potassium Phosphate Dibasic,26,6,83.0487946,15.1259997
Potassium Phosphate Dibasic,27,6,79.9834255,17.29129688
Potassium Phosphate Dibasic,28,6,75.74140087,22.13244788
Potassium Phosphate Dibasic,29,6,68.7595987,29.18939985
Potassium Phosphate Dibasic,30,6,58.61381645,38.51169826
Potassium Phosphate Dibasic,31,6,44.19094953,51.67550515
Potassium Phosphate Dibasic,32,6,35.53584662,58.94272818
Potassium Phosphate Dibasic,33,6,31.14105584,63.12022426
Potassium Phosphate Dibasic,34,6,29.0179459,65.31571018
Potassium Phosphate Dibasic,35,6,28.1190083,66.1422718
Potassium Phosphate Dibasic,36,6,27.64818754,66.68546854
Potassium Phosphate Dibasic,37,6,27.22701308,67.32410453
Potassium Phosphate Dibasic,38,6,26.85344446,67.77027168
Potassium Phosphate Dibasic,39,6,26.66858665,67.95512949
Potassium Phosphate Dibasic,40,6,26.34308703,67.99056905
Potassium Phosphate Dibasic,25,8,88.78371908,11.21628092
Potassium Phosphate Dibasic,26,8,85.63802968,12.53676463
Potassium Phosphate Dibasic,27,8,82.28739868,14.9873237
Potassium Phosphate Dibasic,28,8,77.8036551,20.07019365
Potassium Phosphate Dibasic,29,8,70.19938919,27.74960935
Potassium Phosphate Dibasic,30,8,59.06542501,38.0600897
Potassium Phosphate Dibasic,31,8,44.36086439,51.50559029
Potassium Phosphate Dibasic,32,8,35.75471605,58.72385875
Potassium Phosphate Dibasic,33,8,31.33285724,62.92842286
Potassium Phosphate Dibasic,34,8,28.90679882,65.42685726
Potassium Phosphate Dibasic,35,8,27.66941645,66.59186365
Potassium Phosphate Dibasic,36,8,27.12272579,67.21093029
Potassium Phosphate Dibasic,37,8,26.75058804,67.80052957
Potassium Phosphate Dibasic,38,8,26.4443766,68.17933954
Potassium Phosphate Dibasic,39,8,26.20193309,68.42178304
Potassium Phosphate Dibasic,40,8,25.94179362,68.39186246
Potassium Phosphate Dibasic,25,10,88.03729025,11.96270975
Potassium Phosphate Dibasic,26,10,84.78779348,13.38700082
Potassium Phosphate Dibasic,27,10,81.34546261,15.92925977
Potassium Phosphate Dibasic,28,10,76.55966069,21.31418806
Potassium Phosphate Dibasic,29,10,68.86522963,29.08376891
Potassium Phosphate Dibasic,30,10,57.2796031,39.84591161
Potassium Phosphate Dibasic,31,10,42.85485204,53.01160264
Potassium Phosphate Dibasic,32,10,34.56739614,59.91117865
Potassium Phosphate Dibasic,33,10,30.22270509,64.03857501
Potassium Phosphate Dibasic,34,10,27.77580578,66.5578503
Potassium Phosphate Dibasic,35,10,26.54605562,67.71522448
